,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
26,5CZNuQZszsDSa0VX7kpFsV,Escape From The City ...for City Escape,52,0.5730000000000001,0.956,6,-4.629,0,0.08,9.3e-06,0.0,0.13,0.754,129.95600000000002
27,79ozNtJ4aqVaAav0bqXpji,Friday Night,53,0.588,0.978,1,-4.8839999999999995,1,0.031100000000000006,0.00181,0.0112,0.363,0.637,125.818
28,140e5u8qAM2IzhCyPqHfNG,Today is a diamond - Full Spec Edition,42,0.496,0.889,5,-4.213,1,0.0313,0.0114,7.31e-05,0.28200000000000003,0.8859999999999999,141.54
29,0fQv8Ok7Zp0MRFD2kvKvHA,JUDGEMENT-審判 - Full Spec Edition,48,0.33399999999999996,0.795,0,-3.622,0,0.0392,0.0114,0.031400000000000004,0.109,0.508,156.961
30,1JgJqBdDvPcOJ98dUHN537,24時間シンデレラ - Full Spec Edition,45,0.41,0.867,6,-4.376,0,0.0492,0.0277,0.0,0.402,0.522,74.937
31,4toGhOrpjQfweDT9flB5iq,We'll Be Alright (Movie Edit),57,0.226,0.599,0,-6.847,1,0.036500000000000005,0.326,8.81e-06,0.114,0.0653,95.32799999999999
32,56pvqFKGXPjubh5eY6sOlv,Is There Still Anything That Love Can Do?,61,0.536,0.40299999999999997,9,-6.38,1,0.0335,0.36200000000000004,0.0,0.292,0.24600000000000002,141.55100000000002
33,0Q2eLJmspNc9jUAtOhotAe,74,34,0.59,0.738,7,-4.877,1,0.0708,0.684,0.0,0.14300000000000002,0.48100000000000004,94.99600000000001
34,3jChEuctWSpanAsOwnjd3X,While You Were Away,38,0.608,0.42100000000000004,4,-9.677999999999999,1,0.029400000000000006,0.9279999999999999,0.759,0.16399999999999998,0.208,77.932
35,77bGNpC1hZH3JSZQhR1vxn,boy,45,0.73,0.387,7,-8.472999999999999,0,0.0606,0.6940000000000001,0.0,0.10800000000000001,0.132,131.958
36,4UKsdKCTWVkr7Y5fmHtNid,look at me,54,0.523,0.54,6,-6.956,1,0.0304,0.652,5.31e-05,0.0981,0.153,66.10300000000001
37,3eHkFA3StDR9BU7EVrUFLs,WINE (Feat.Changmo) (Prod. SUGA),62,0.62,0.644,4,-2.713,0,0.0447,0.314,0.0,0.105,0.502,145.87
38,4e1Fkgr0liTavbc4ReUJF4,#mood,42,0.773,0.45299999999999996,4,-6.053,1,0.05640000000000001,0.413,0.0,0.173,0.407,118.001
39,3Rt7BjFHnJ4QxBGT897Vs2,BOKE,49,0.802,0.488,1,-5.523,0,0.0675,0.5690000000000001,1.55e-05,0.22,0.496,94.994
40,1hZ2dSvv2O6HQo6p3gDtVO,Syndrome,51,0.675,0.5820000000000001,5,-5.84,0,0.0309,0.5539999999999999,0.0008150000000000001,0.0897,0.46799999999999997,81.028
41,60bHRp4901AmCtPPPsytte,strangers,61,0.735,0.389,1,-12.290999999999999,1,0.354,0.687,3.25e-06,0.125,0.7290000000000001,73.831
